Venue,Event Name,Date,Time,Description
August Hall,"Stabbing Westward, Treasvre",2025-01-10,,
August Hall,"Max McNown, Theo Kandel",2025-01-16,,Sold Out
August Hall,Eric Rachmany and Friends with Unified Highway,2025-01-17,,
August Hall,"((( O ))), Kuf Knotz & Christine Elise",2025-01-18,,
August Hall,"Arooj Aftab, Zsela",2025-01-24,,
August Hall,"Windows95man, Luna",2025-01-25,,
August Hall,"Cursive, Pile",2025-02-08,,
August Hall,"Cowboy Bebop Live, Bebop Bounty Big Band",2025-02-10,,
August Hall,Bresh – La Fiesta Más Linda del Mundo,2025-02-14,,
August Hall,"Geographer, Video Age",2025-02-21,,
August Hall,Tommy Richman: The Coyote Tour,2025-02-22,,
August Hall,New West,2025-02-25,,
August Hall,Cymande,2025-02-26,,
August Hall,Bon Entendeur,2025-02-27,,
August Hall,Last Dinosaurs,2025-03-02,,
August Hall,G. Love & Special Sauce,2025-03-05,,
August Hall,"Intervals, Vola, David Maxim",2025-03-14,,
August Hall,"Pigeons Playing Ping Pong, High Fade",2025-03-16,,
August Hall,"RX Bandits, Standards",2025-03-23,,
August Hall,Club Chris Tour with Chris Olsen & Ryan Trainor,2025-04-03,,
August Hall,"Rubblebucket, Capyac",2025-04-04,,
