Venue,Event Name,Date,Time,Description
Bill Graham Civic Auditorium,Excision - Two Nights! (Night 1),2025-01-31,19:00,"With Barely Alive, SoDown, Benda, Perry Wayne, Jeanie"
Bill Graham Civic Auditorium,Excision - Two Nights! (Night 2),2025-02-01,19:00,"With Riot Ten, GorillaT, Jon Casey, Rated R, Brainrack"
Bill Graham Civic Auditorium,Stairway To The Sky Tour - Zayn (Rescheduled),2025-02-03,20:00,"With Hope Tala, LAPD"
Bill Graham Civic Auditorium,Stairway To The Sky Tour - Zayn (2nd Show),2025-02-04,20:00,With LAPD
Bill Graham Civic Auditorium,Celebrating Ten Years of Runaway - Galantis,2025-02-08,20:00,
Bill Graham Civic Auditorium,South of Here Tour - Nathaniel Rateliff & The Night Sweats,2025-02-22,20:00,With Iron & Wine
Bill Graham Civic Auditorium,Chaos Will Bring Peace 2025 US Tour - Sullivan King,2025-03-14,19:00,"With Flux Pavilion, Yookie, Grabbitz, RZRKT"
Bill Graham Civic Auditorium,LSR/CITY: CYBERPUNK - Gareth Emery,2025-03-21,20:00,
Bill Graham Civic Auditorium,Unleashed XL '25 - Kayzo,2025-04-05,19:00,"With Hivemind, Samplifire, Dennett"
Bill Graham Civic Auditorium,The Theater at Bill Graham Civic Auditorium - The Avett Brothers,2025-04-10,20:00,With Charles Wesley Godwin
Bill Graham Civic Auditorium,The Wild God Tour - Nick Cave & The Bad Seeds,2025-05-14,20:00,
Bill Graham Civic Auditorium,Justice: Live (Night 1),2025-05-21,20:00,
Bill Graham Civic Auditorium,Justice: Live (2nd Show),2025-05-22,20:00,
Bill Graham Civic Auditorium,"Long Hair, Long Life Tour - Peach Pit & Briston Maroney",2025-06-10,19:00,With Bnny
