Venue,Event Name,Date,Time,Description
Great American Music Hall,The 14th Annual Bowie Bash! (Day 1),2025-01-10,21:30,$29.00
Great American Music Hall,The 14th Annual Bowie Bash! (Day 2),2025-01-11,21:30,$25.00-$29.00
Great American Music Hall,Porchlight: A Storytelling Series,2025-01-17,20:00,$30.00-$35.00
Great American Music Hall,Chris Fleming [Early Show],2025-01-18,19:00,$40.00
Great American Music Hall,Chris Fleming [Late Show],2025-01-18,21:30,$40.00
Great American Music Hall,Chris Fleming,2025-01-19,19:00,$40.00
Great American Music Hall,Alan Sparhawk (of Low) with Circuit des Yeux,2025-01-20,20:00,$30.00-$35.00
Great American Music Hall,Joel Kim Booster: Rude Little Pig,2025-01-24,19:30,$40.00
Great American Music Hall,NANO / MADKID,2025-01-27,20:00,$40.00-$100.00
Great American Music Hall,The Music of The Kids in the Hall with Red Room Orchestra,2025-01-28,20:00,$45.00-$95.00
Great American Music Hall,Bill Murray and His Blood Brothers with Dave Hill (Day 1),2025-01-29,20:00,$75.00-$250.00
Great American Music Hall,Bill Murray and His Blood Brothers with Dave Hill (Day 2),2025-01-30,20:00,$75.00-$250.00
Great American Music Hall,Middle Aged Dad Jam Band with Ken Marino & David Wain,2025-02-01,20:00,$45.00-$125.00
Great American Music Hall,Ultramagnetic MC’s with + Special Guests TBA,2025-02-04,20:00,$27.00-$35.00
Great American Music Hall,"Set Your Goals with The Warriors, Doomsday",2025-02-07,19:30,$29.50-$35.00
Great American Music Hall,Trentemøller,2025-02-12,20:00,$35.00-$45.00
Great American Music Hall,"Orchid with Jeromes Dream, Strangelight",2025-02-13,20:00,$30.00
Great American Music Hall,Misfit Cabaret Presents Heartbreaker!,2025-02-14,20:00,$30.00-$500.00
Great American Music Hall,Dhruv with Tara Lily,2025-02-15,21:00,$25.00-$30.00
Great American Music Hall,Mount Eerie with Ragana,2025-02-17,20:00,$35.00-$40.00
