Venue,Event Name,Date,Time,Description
The Warfield,An Evening With THE DISCO BISCUITS,2025-01-24,20:00,
The Warfield,"Circle In Time: Live - SULTAN + SHEPARD with Christian Löffler, Catching Flies",2025-02-01,20:00,
The Warfield,CELEBRITY PICKLEBALL BASH,2025-02-15,13:00,"Featured Participants - Mario Lopez, Chris Mullin, Terrell Owens, Brandi Chastain, Hunter Pence, Jessie James Decker, and Eric Decker"
The Warfield,CELEBRITY PICKLEBALL BASH,2025-02-16,13:00,"Featured Participants - Mario Lopez, Chris Mullin, Terrell Owens, Brandi Chastain, Hunter Pence, Jessie James Decker, and Eric Decker"
The Warfield,"MELVIN SEALS & JGB with Sam Grisman Project, special guest Mads Tolling",2025-02-22,19:30,
The Warfield,Too Much To Say Tour - JOJO with Emmy Meli,2025-03-05,20:00,
The Warfield,liminal space tour - MXMTOON with Luna Li,2025-03-07,20:00,
The Warfield,The Friends & Family Tour - CONNOR PRICE with GRAHAM,2025-03-11,20:00,
The Warfield,ALI SIDDIQ: IN THE SHADOWS,2025-03-21,20:00,
The Warfield,JIM HENSON'S LABYRINTH: IN CONCERT,2025-03-23,19:00,
The Warfield,Refused Are Fucking Dead - REFUSED with Quicksand,2025-03-27,20:00,
The Warfield,FRANZ FERDINAND,2025-03-28,21:00,
The Warfield,"CHIODOS: 20 YEARS OF ALL'S WELL THAT ENDS WELL. with Hawthorne Heights, Emmure, The Callous Daoboys",2025-04-01,19:00,
The Warfield,"April 2025 Tour - POISON THE WELL with Glassjaw, Better Lovers, and Teenage Wrist",2025-04-05,18:30,
The Warfield,BURNOUT WORLD TOUR - BOYWITHUKE with Ethan Bortnick,2025-04-07,20:00,
The Warfield,Hallucinating Love Tour - MARIBOU STATE,2025-04-10,20:00,
The Warfield,BARRY CAN'T SWIM- NA TOUR '25,2025-04-26,20:00,
The Warfield,KOUNTRY KOUSINS - SMINO with Samara Cyn,2025-04-30,20:00,
The Warfield,2025 NAO TOUR,2025-05-06,20:00,
The Warfield,IN THE NIGHTSIDE ECLIPSE TOUR - EMPEROR with Agalloch,2025-05-17,19:30,
